Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
18.2482,0.028014,0,0.00032921,150.399,8816
39.1451,0.054027,1,0.000298055,139.496,8816
76.5852,0.08004,2,0.000275544,129.712,8816
111.565,0.106053,3,0.000276879,120.605,8816
146.512,0.132066,4,nan,111.822,8816
179.541,0.158079,5,nan,103.936,8816
211.773,0.184092,6,nan,96.4815,8816
243.761,0.210105,7,nan,89.6614,8816
274.201,0.236118,8,nan,83.2934,8816
304.56,0.262131,9,nan,77.2895,8816
333.908,0.288144,10,nan,71.8096,8816
437.289,0.354157,11,nan,95.5793,5657
468.521,0.38017,12,nan,88.8808,5657
499.052,0.406183,13,nan,82.7174,5657
529.173,0.432196,14,nan,76.9622,5657
559.492,0.458209,15,nan,71.4605,5657
626.836,0.524222,16,nan,95.1444,5632
658.345,0.550235,17,nan,88.6279,5632
689.377,0.576248,18,nan,82.4177,5632
719.321,0.602261,19,nan,76.5105,5632
749.605,0.628274,20,nan,71.1563,5632
816.533,0.694287,21,nan,95.1852,5628
847.825,0.7203,22,nan,88.5747,5628
878.386,0.746313,23,nan,82.3113,5628
908.845,0.772326,24,nan,76.6014,5628
938.697,0.798339,25,nan,71.1139,5628
1006.43,0.864352,26,nan,96.718,5717
1038.34,0.890365,27,nan,89.9546,5717
1069.23,0.916378,28,nan,83.8256,5717
1099.95,0.942391,29,nan,77.8297,5717
1129.69,0.968404,30,nan,72.2405,5717
1198.8,1.03442,31,nan,101.683,6006
1231.58,1.06043,32,nan,94.5637,6006
1262.97,1.08644,33,nan,88.0826,6006
1293.97,1.11246,34,nan,81.9393,6006
1324.27,1.13847,35,nan,76.0224,6006
1354.23,1.16448,36,nan,70.6252,6006
1426.65,1.23049,37,nan,98.4242,5825
1458.75,1.25651,38,nan,91.6823,5825
1490.5,1.28252,39,nan,85.4785,5825
1521.32,1.30853,40,nan,79.3402,5825
1552.12,1.33455,41,nan,73.7564,5825
1619.41,1.40056,42,nan,103.379,6122
1652.1,1.42657,43,nan,96.2739,6122
1684,1.45259,44,nan,89.6255,6122
1715.51,1.4786,45,nan,83.3706,6122
1746.05,1.50461,46,nan,77.6341,6122
1776.41,1.53062,47,nan,72.1654,6122
1846.18,1.59664,48,nan,98.7198,5852
1878.43,1.62265,49,nan,91.9205,5852
1910.18,1.64866,50,nan,85.5187,5852
1941.5,1.67468,51,nan,79.5789,5852
1972.25,1.70069,52,nan,74.0329,5852
2039.61,1.7667,53,nan,100.668,5952
2071.8,1.79272,54,nan,93.6332,5952
2103.8,1.81873,55,nan,87.2318,5952
2135.22,1.84474,56,nan,81.2537,5952
2166.61,1.87075,57,nan,75.3711,5952
2196.83,1.89677,58,nan,69.9102,5952
2267.12,1.96278,59,nan,97.266,5759
2299.74,1.98879,60,nan,90.6231,5759
2329.61,2.01481,61,nan,84.4027,5759
2360.08,2.04082,62,nan,78.5426,5759
2389.77,2.06683,63,nan,72.8864,5759
2456.27,2.13285,64,nan,101.933,6031
2487.79,2.15886,65,nan,94.9847,6031
2517.34,2.18487,66,nan,88.5299,6031
2547.25,2.21088,67,nan,82.3608,6031
2575.73,2.2369,68,nan,76.5888,6031
2604.79,2.26291,69,nan,71.0572,6031
2671.84,2.32892,70,nan,98.3563,5808
2701.78,2.35494,71,nan,91.6146,5808
2731.42,2.38095,72,nan,85.2365,5808
2759,2.40696,73,nan,79.5576,5808
2787.24,2.43298,74,nan,73.8823,5808
2854.25,2.49899,75,nan,104.859,6213
2885.94,2.525,76,nan,97.8082,6213
2915.44,2.55102,77,nan,91.2154,6213
2944.69,2.57703,78,nan,84.8843,6213
2973.08,2.60304,79,nan,78.9312,6213
3000.98,2.62905,80,nan,73.2062,6213
3073.15,2.69507,81,nan,105.51,6232
3104.12,2.72108,82,nan,98.3532,6232
3134.15,2.74709,83,nan,91.6556,6232
3162.54,2.77311,84,nan,85.205,6232
3191.13,2.79912,85,nan,79.1834,6232
3218.1,2.82513,86,nan,73.319,6232
3286.34,2.89115,87,nan,103.984,6131
3316.48,2.91716,88,nan,96.9889,6131
3345.44,2.94317,89,nan,90.2845,6131
3374.45,2.96918,90,nan,83.8909,6131
3401.71,2.9952,91,nan,77.9266,6131
3429.56,3.02121,92,nan,72.284,6131
3493.45,3.08722,93,nan,98.3676,5813
3522.25,3.11324,94,nan,91.7363,5813
